name,weekend,order,link
참교육,mon,1,https://comic.naver.com/webtoon/list?titleId=758037&weekday=mon
신의 탑,mon,2,https://comic.naver.com/webtoon/list?titleId=183559&weekday=mon
뷰티풀 군바리,mon,3,https://comic.naver.com/webtoon/list?titleId=648419&weekday=mon
윈드브레이커,mon,4,https://comic.naver.com/webtoon/list?titleId=602910&weekday=mon
팔이피플,mon,5,https://comic.naver.com/webtoon/list?titleId=774863&weekday=mon
장씨세가 호위무사,mon,6,https://comic.naver.com/webtoon/list?titleId=728750&weekday=mon
백수세끼,mon,7,https://comic.naver.com/webtoon/list?titleId=733074&weekday=mon
소녀의 세계,mon,8,https://comic.naver.com/webtoon/list?titleId=654774&weekday=mon
파이게임,mon,9,https://comic.naver.com/webtoon/list?titleId=749632&weekday=mon
앵무살수,mon,10,https://comic.naver.com/webtoon/list?titleId=739115&weekday=mon
삼매경,mon,11,https://comic.naver.com/webtoon/list?titleId=769317&weekday=mon
만렙돌파,mon,12,https://comic.naver.com/webtoon/list?titleId=759940&weekday=mon
요리GO,mon,13,https://comic.naver.com/webtoon/list?titleId=703849&weekday=mon
잔불의 기사,mon,14,https://comic.naver.com/webtoon/list?titleId=768536&weekday=mon
유일무이 로맨스,mon,15,https://comic.naver.com/webtoon/list?titleId=709731&weekday=mon
칼가는 소녀,mon,16,https://comic.naver.com/webtoon/list?titleId=730174&weekday=mon
히어로메이커,mon,17,https://comic.naver.com/webtoon/list?titleId=21815&weekday=mon
꼬리잡기,mon,18,https://comic.naver.com/webtoon/list?titleId=758666&weekday=mon
리턴 투 플레이어,mon,19,https://comic.naver.com/webtoon/list?titleId=752414&weekday=mon
물어보는 사이,mon,20,https://comic.naver.com/webtoon/list?titleId=772725&weekday=mon
결혼생활 그림일기,mon,21,https://comic.naver.com/webtoon/list?titleId=741891&weekday=mon
오늘의 순정망화,mon,22,https://comic.naver.com/webtoon/list?titleId=716857&weekday=mon
"아, 쫌 참으세요 영주님!",mon,23,https://comic.naver.com/webtoon/list?titleId=774703&weekday=mon
더블클릭,mon,24,https://comic.naver.com/webtoon/list?titleId=769663&weekday=mon
영앤리치가 아니야!,mon,25,https://comic.naver.com/webtoon/list?titleId=734574&weekday=mon
약초마을 연쇄살초사건,mon,26,https://comic.naver.com/webtoon/list?titleId=776541&weekday=mon
평범한 8반,mon,27,https://comic.naver.com/webtoon/list?titleId=597478&weekday=mon
수영만화일기,mon,28,https://comic.naver.com/webtoon/list?titleId=768534&weekday=mon
아는 여자애,mon,29,https://comic.naver.com/webtoon/list?titleId=738809&weekday=mon
장난감,mon,30,https://comic.naver.com/webtoon/list?titleId=770656&weekday=mon
황제와의 하룻밤,mon,31,https://comic.naver.com/webtoon/list?titleId=758671&weekday=mon
